2018-11-18 13:16:57,264 INFO     Still connected to
2018-11-18 13:16:57,264 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,298 INFO     Received [reset]
2018-11-18 13:16:57,298 INFO     Still connected to
2018-11-18 13:16:57,299 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,306 INFO     Received [reset]
2018-11-18 13:16:57,307 INFO     Still connected to
2018-11-18 13:16:57,308 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,339 INFO     Received [reset]
2018-11-18 13:16:57,340 INFO     Still connected to
2018-11-18 13:16:57,340 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,341 INFO     Received [reset]
2018-11-18 13:16:57,342 INFO     Still connected to
2018-11-18 13:16:57,342 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,373 INFO     Received [reset]
2018-11-18 13:16:57,373 INFO     Still connected to
2018-11-18 13:16:57,374 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,379 INFO     Received [reset]
2018-11-18 13:16:57,380 INFO     Still connected to
2018-11-18 13:16:57,380 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,411 INFO     Received [reset]
2018-11-18 13:16:57,412 INFO     Still connected to
2018-11-18 13:16:57,413 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,444 INFO     Received [reset]
2018-11-18 13:16:57,445 INFO     Still connected to
2018-11-18 13:16:57,445 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,446 INFO     Received [reset]
2018-11-18 13:16:57,446 INFO     Still connected to
2018-11-18 13:16:57,447 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,478 INFO     Received [reset]
2018-11-18 13:16:57,478 INFO     Still connected to
2018-11-18 13:16:57,479 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,480 INFO     Received [reset]
2018-11-18 13:16:57,481 INFO     Still connected to
2018-11-18 13:16:57,481 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,513 INFO     Received [reset]
2018-11-18 13:16:57,513 INFO     Still connected to
2018-11-18 13:16:57,514 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,520 INFO     Received [reset]
2018-11-18 13:16:57,521 INFO     Still connected to
2018-11-18 13:16:57,521 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,545 INFO     Received [reset]
2018-11-18 13:16:57,546 INFO     Still connected to
2018-11-18 13:16:57,546 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,578 INFO     Received [reset]
2018-11-18 13:16:57,578 INFO     Still connected to
2018-11-18 13:16:57,579 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,580 INFO     Received [reset]
2018-11-18 13:16:57,581 INFO     Still connected to
2018-11-18 13:16:57,581 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,613 INFO     Received [reset]
2018-11-18 13:16:57,613 INFO     Still connected to
2018-11-18 13:16:57,614 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,645 INFO     Received [reset]
2018-11-18 13:16:57,646 INFO     Still connected to
2018-11-18 13:16:57,646 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,658 INFO     Received [reset]
2018-11-18 13:16:57,658 INFO     Still connected to
2018-11-18 13:16:57,659 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,743 INFO     Received [reset]
2018-11-18 13:16:57,743 INFO     Still connected to
2018-11-18 13:16:57,744 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,745 INFO     Received [reset]
2018-11-18 13:16:57,745 INFO     Still connected to
2018-11-18 13:16:57,746 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,746 INFO     Received [resetreset]
2018-11-18 13:16:57,747 INFO     Still connected to
2018-11-18 13:16:57,748 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,748 INFO     Received [reset]
2018-11-18 13:16:57,749 INFO     Still connected to
2018-11-18 13:16:57,749 INFO     ('A8:7D:12:A2:16:10', 1)
2018-11-18 13:16:57,774 INFO     Received [reset]
